column,dtype
Year,int64
Quarter,int64
Month,int64
DayofMonth,int64
DayOfWeek,int64
FlightDate,object
Reporting_Airline,object
IATA_CODE_Reporting_Airline,object
Tail_Number,object
Flight_Number_Reporting_Airline,int64
Origin,object
OriginCityName,object
OriginState,object
Dest,object
DestCityName,object
DestState,object
CRSDepTime,int64
DepTime,float64
DepDelay,float64
DepDelayMinutes,float64
DepDel15,float64
CRSArrTime,int64
ArrTime,float64
ArrDelay,float64
ArrDelayMinutes,float64
ArrDel15,float64
Cancelled,float64
CancellationCode,object
Diverted,float64
CRSElapsedTime,float64
ActualElapsedTime,float64
AirTime,float64
Flights,float64
Distance,float64
TaxiOut,float64
TaxiIn,float64
CarrierDelay,float64
WeatherDelay,float64
NASDelay,float64
SecurityDelay,float64
LateAircraftDelay,float64
Airline,object
IsCancelled,int64
IsDiverted,int64
IsArrivalDelayed15,float64
IsDepartureDelayed15,float64
ScheduledDepHour,int64
DeparturePeriod,object
DayName,object
Route,object
CompletedFlight,int64
