Airline,n,mean_arr_delay,ci95_low,ci95_high
YX,26683,-2.2907469175130233,-2.7186255366369405,-1.8628682983891063
WN,102120,-1.1734625930278104,-1.3685785217330104,-0.9783466643226104
AS,17847,-0.11985207597915616,-0.6545350571073733,0.41483090514906096
NK,16946,0.6455210669184468,-0.00021186786435323235,1.2912540017012468
UA,60668,1.289938682666315,0.9348947760461672,1.644982589286463
MQ,20831,4.812731025874898,4.014700254478793,5.610761797271003
DL,74025,5.222127659574468,4.77785440073974,5.666400918409197
AA,72082,5.566646319469493,5.028299819587666,6.10499281935132
B6,17558,5.811424991456886,5.066845994237778,6.556003988675994
HA,6540,6.0365443425076455,4.873620889649339,7.199467795365952
OO,63502,7.940915246763882,7.4212421203983405,8.460588373129422
G4,9206,9.542363675863568,7.818901342682202,11.265826009044934
F9,15110,10.816412971542025,9.720105229024163,11.912720714059887
OH,19151,14.136233094877552,12.922279181362983,15.35018700839212
