Airline,flights,cancellations,diversions,cancellation_rate_pct,completed_flights,mean_arr_delay,median_arr_delay,arr_delay15_rate,arr_delay15_rate_pct
WN,105307.0,3016,171,2.8640071410257626,102120,-1.1734625930278104,-9.0,0.15208578143360751,15.208578143360752
DL,76306.0,2137,144,2.8005661415878174,74025,5.222127659574468,-9.0,0.1932049983113813,19.32049983113813
AA,75088.0,2802,204,3.731621564031536,72082,5.566646319469493,-8.0,0.19228101329041924,19.228101329041923
OO,65036.0,1343,191,2.065010148225598,63502,7.940915246763882,-8.0,0.20882806840729426,20.882806840729426
UA,62007.0,1189,150,1.9175254406760527,60668,1.289938682666315,-8.0,0.17627085119008373,17.627085119008374
YX,27833.0,1119,31,4.020407430029102,26683,-2.2907469175130233,-11.0,0.160176891653862,16.0176891653862
MQ,21890.0,1030,29,4.705344906349931,20831,4.812731025874898,-8.0,0.18429264077576687,18.429264077576686
OH,21094.0,1899,44,9.002559969659618,19151,14.136233094877552,-5.0,0.25481698083650983,25.481698083650983
AS,18163.0,243,73,1.3378847106755491,17847,-0.11985207597915616,-7.0,0.1757718384042136,17.57718384042136
B6,17918.0,323,37,1.8026565464895636,17558,5.811424991456886,-6.0,0.2445608839275544,24.45608839275544
NK,17544.0,572,26,3.260373917008664,16946,0.6455210669184468,-9.0,0.18080963059129,18.080963059128997
F9,15526.0,392,24,2.5247971145175834,15110,10.816412971542025,-6.0,0.25976174718729317,25.976174718729318
G4,9345.0,119,20,1.2734082397003745,9206,9.542363675863568,-9.0,0.23712796002606995,23.712796002606996
HA,6690.0,128,22,1.913303437967115,6540,6.0365443425076455,-2.0,0.13547400611620794,13.547400611620795
