Origin,flights,cancellations,cancellation_rate_pct,completed_flights,mean_dep_delay,dep_delay15_rate,dep_delay15_rate_pct
ASE,1025.0,54,5.2682926829268295,970,35.728865979381446,0.35876288659793815,35.876288659793815
PBI,2945.0,56,1.901528013582343,2886,15.038808038808039,0.26853776853776856,26.853776853776857
SJU,3208.0,49,1.527431421446384,3139,18.05734310289901,0.25613252628225547,25.613252628225545
FLL,7892.0,176,2.2301064368981245,7695,12.766601689408708,0.247043534762833,24.7043534762833
DFW,25124.0,1592,6.336570609775514,23469,15.122203758149048,0.2343516979845754,23.43516979845754
DEN,24732.0,313,1.2655668769205888,24350,12.614496919917864,0.23363449691991786,23.363449691991786
ATL,23881.0,1248,5.22591181273816,22580,14.543268379096546,0.2240921169176262,22.40921169176262
IAH,9250.0,518,5.6,8706,15.125545600735125,0.22271996324373994,22.271996324373994
MIA,10182.0,216,2.121390689451974,9939,13.133816279303753,0.22145085018613542,22.145085018613543
MCO,13058.0,211,1.6158676673303722,12817,10.215104938753218,0.21268627603963486,21.268627603963488
DTW,9253.0,137,1.4806008861990705,9102,12.950560316413975,0.20951439244122172,20.95143924412217
DCA,11734.0,1097,9.348900630645986,10619,11.919672285525944,0.20642245032488934,20.642245032488933
BWI,7094.0,311,4.383986467437271,6777,9.747380846982441,0.19713737642024495,19.713737642024494
ORD,21643.0,383,1.7696252830014323,21200,11.841037735849056,0.19627358490566038,19.62735849056604
TPA,6454.0,130,2.014254725751472,6314,10.028824833702883,0.19559708584098828,19.55970858409883
BUF,1396.0,39,2.793696275071633,1355,10.646494464944649,0.18745387453874537,18.74538745387454
MDW,5189.0,106,2.0427828097899403,5080,6.902362204724409,0.1860236220472441,18.60236220472441
DAL,5755.0,294,5.108601216333623,5453,8.421969558041445,0.1857693013020356,18.576930130203557
SRQ,1499.0,27,1.801200800533689,1470,12.27687074829932,0.18571428571428572,18.571428571428573
IAD,4008.0,126,3.143712574850299,3872,12.627840909090908,0.18517561983471073,18.517561983471072
LAS,15007.0,168,1.1194775771306724,14803,8.654934810511383,0.18496250759981084,18.496250759981084
DSM,1051.0,24,2.283539486203616,1025,12.985365853658537,0.18048780487804877,18.048780487804876
RSW,3562.0,75,2.1055586749017405,3481,7.181557023843723,0.17925883366848608,17.92588336684861
CLT,16877.0,760,4.5031699946672985,16083,8.999689112727724,0.17726792265124666,17.726792265124665
MSY,4207.0,419,9.959591157594485,3782,9.65520888418826,0.17636171337916445,17.636171337916444
MEM,1528.0,66,4.319371727748691,1459,10.04112405757368,0.17614804660726524,17.614804660726524
PHL,6688.0,185,2.7661483253588517,6492,11.496919285274183,0.17590881084411583,17.590881084411585
STL,4717.0,326,6.911172355310579,4384,9.84808394160584,0.17518248175182483,17.51824817518248
CLE,2924.0,64,2.188782489740082,2858,10.121063680895732,0.17319804058782365,17.319804058782363
EWR,10144.0,209,2.0603312302839116,9908,7.8058134840532905,0.17228502220427938,17.228502220427938
BNA,7404.0,318,4.294975688816856,7078,8.105679570500142,0.1712348120938118,17.12348120938118
JFK,8327.0,146,1.753332532724871,8164,9.271313081822637,0.1711170994610485,17.11170994610485
MSP,8483.0,91,1.0727337026995167,8372,10.145723841376014,0.17092689918776877,17.092689918776877
JAX,2238.0,94,4.200178731009831,2138,11.838166510757718,0.17025257249766138,17.02525724976614
SAV,1357.0,145,10.685335298452468,1210,14.277685950413224,0.17024793388429751,17.024793388429753
BHM,1195.0,65,5.439330543933054,1130,11.367256637168142,0.16991150442477876,16.991150442477874
HOU,4122.0,259,6.283357593401261,3858,6.993779160186625,0.16925868325557283,16.925868325557282
SEA,11882.0,109,0.9173539808113113,11719,6.893762266404983,0.1687857325710385,16.87857325710385
LGA,10905.0,322,2.9527739569005043,10566,7.835131554041264,0.1686541737649063,16.86541737649063
SAN,7189.0,114,1.585756016135763,7049,9.282167683359342,0.16825081571854164,16.825081571854163
PVD,1114.0,39,3.5008976660682225,1074,6.3193668528864055,0.16666666666666666,16.666666666666664
GRR,1334.0,22,1.6491754122938531,1312,11.242378048780488,0.16539634146341464,16.539634146341463
SDF,1701.0,107,6.290417401528512,1588,15.818639798488665,0.16435768261964737,16.435768261964736
OMA,1887.0,35,1.8547959724430312,1850,9.584324324324324,0.1643243243243243,16.43243243243243
AUS,6142.0,147,2.393357212634321,5984,8.221256684491978,0.16310160427807488,16.31016042780749
MCI,3481.0,293,8.417121516805516,3183,11.340245051837888,0.16179704681118443,16.17970468111844
SAT,3100.0,111,3.5806451612903225,2987,7.481084700368262,0.16136591898225644,16.136591898225642
CVG,2405.0,108,4.490644490644491,2294,10.393635571054926,0.15954664341761116,15.954664341761116
CHS,1661.0,161,9.692956050571945,1498,11.983311081441922,0.1588785046728972,15.887850467289718
SNA,3478.0,60,1.7251293847038527,3414,9.687170474516696,0.15817223198594024,15.817223198594025
RIC,1200.0,43,3.5833333333333335,1155,9.329004329004329,0.15757575757575756,15.757575757575756
BDL,1790.0,55,3.0726256983240225,1729,8.9786003470214,0.156737998843262,15.6737998843262
MKE,1929.0,45,2.332814930015552,1882,9.047821466524974,0.155154091392136,15.5154091392136
ORF,1441.0,63,4.371963913948647,1378,13.124818577648766,0.15457184325108853,15.457184325108852
